doc_id,title,department,year,region,text
D001,"Document Title D001 (finance)",finance,2020,asia_pacific,"This is the body text of document D001 in department finance for region asia_pacific and year 2020."
D002,"Document Title D002 (finance)",finance,2026,north_america,"This is the body text of document D002 in department finance for region north_america and year 2026."
D003,"Document Title D003 (hr)",hr,2022,north_america,"This is the body text of document D003 in department hr for region north_america and year 2022."
D004,"Document Title D004 (engineering)",engineering,2023,north_america,"This is the body text of document D004 in department engineering for region north_america and year 2023."
D005,"Document Title D005 (legal)",legal,2025,latin_america,"This is the body text of document D005 in department legal for region latin_america and year 2025."
D006,"Document Title D006 (sales)",sales,2025,europe,"This is the body text of document D006 in department sales for region europe and year 2025."
D007,"Document Title D007 (marketing)",marketing,2021,asia_pacific,"This is the body text of document D007 in department marketing for region asia_pacific and year 2021."
D008,"Document Title D008 (sales)",sales,2024,north_america,"This is the body text of document D008 in department sales for region north_america and year 2024."
D009,"Document Title D009 (engineering)",engineering,2024,latin_america,"This is the body text of document D009 in department engineering for region latin_america and year 2024."
D010,"Document Title D010 (engineering)",engineering,2026,north_america,"This is the body text of document D010 in department engineering for region north_america and year 2026."
D011,"Document Title D011 (engineering)",engineering,2023,asia_pacific,"This is the body text of document D011 in department engineering for region asia_pacific and year 2023."
D012,"Document Title D012 (engineering)",engineering,2023,north_america,"This is the body text of document D012 in department engineering for region north_america and year 2023."
D013,"Document Title D013 (legal)",legal,2026,latin_america,"This is the body text of document D013 in department legal for region latin_america and year 2026."
D014,"Document Title D014 (sales)",sales,2020,asia_pacific,"This is the body text of document D014 in department sales for region asia_pacific and year 2020."
D015,"Document Title D015 (sales)",sales,2023,north_america,"This is the body text of document D015 in department sales for region north_america and year 2023."
D016,"Document Title D016 (engineering)",engineering,2021,asia_pacific,"This is the body text of document D016 in department engineering for region asia_pacific and year 2021."
D017,"Document Title D017 (engineering)",engineering,2026,europe,"This is the body text of document D017 in department engineering for region europe and year 2026."
D018,"Document Title D018 (finance)",finance,2025,asia_pacific,"This is the body text of document D018 in department finance for region asia_pacific and year 2025."
D019,"Document Title D019 (hr)",hr,2020,north_america,"This is the body text of document D019 in department hr for region north_america and year 2020."
D020,"Document Title D020 (hr)",hr,2021,latin_america,"This is the body text of document D020 in department hr for region latin_america and year 2021."
D021,"Document Title D021 (legal)",legal,2026,north_america,"This is the body text of document D021 in department legal for region north_america and year 2026."
D022,"Document Title D022 (engineering)",engineering,2021,europe,"This is the body text of document D022 in department engineering for region europe and year 2021."
D023,"Document Title D023 (marketing)",marketing,2023,asia_pacific,"This is the body text of document D023 in department marketing for region asia_pacific and year 2023."
D024,"Document Title D024 (legal)",legal,2021,asia_pacific,"This is the body text of document D024 in department legal for region asia_pacific and year 2021."
D025,"Document Title D025 (marketing)",marketing,2023,latin_america,"This is the body text of document D025 in department marketing for region latin_america and year 2023."
